order_date,invoice_no,stock_code,category,quantity,price
12/01/2009,489434,85048,Others,12,6.95
12/01/2009,489434,79323P,Others,12,6.75
12/01/2009,489434,79323W,Others,12,6.75
12/01/2009,489434,22041,Others,48,2.1
12/01/2009,489434,21232,Others,24,1.25
12/01/2009,489434,22064,Others,24,1.65
12/01/2009,489434,21871,Others,24,1.25
12/01/2009,489434,21523,Others,10,5.95
12/01/2009,489435,22350,Others,12,2.55
12/01/2009,489435,22349,Others,12,3.75
12/01/2009,489435,22195,Others,24,1.65
12/01/2009,489435,22353,Others,12,2.55
12/01/2009,489436,48173C,Others,10,5.95
12/01/2009,489436,21755,Others,18,5.45
12/01/2009,489436,21754,Others,3,5.95
12/01/2009,489436,84879,Others,16,1.69
12/01/2009,489436,22119,Others,3,6.95
12/01/2009,489436,22142,Others,12,1.45
12/01/2009,489436,22296,Others,12,1.65
12/01/2009,489436,22295,Others,12,1.65
12/01/2009,489436,22109,Others,16,3.39
12/01/2009,489436,22107,Others,4,3.75
12/01/2009,489436,22194,Others,2,8.5
12/01/2009,489436,35004B,Others,12,4.65
12/01/2009,489436,82582,Others,12,2.1
12/01/2009,489436,21181,Others,12,2.1
12/01/2009,489436,21756,Others,3,5.95
12/01/2009,489436,21333,Others,6,2.95
12/01/2009,489436,84596F,Others,8,1.25
12/01/2009,489436,84596L,Others,8,1.25
12/01/2009,489436,22111,Others,24,4.25
12/01/2009,489437,22143,Others,6,2.1
12/01/2009,489437,22145,Others,6,2.1
12/01/2009,489437,22130,Others,12,0.85
12/01/2009,489437,21364,Others,2,6.75
12/01/2009,489437,21360,Others,1,9.95
12/01/2009,489437,21351,Others,2,6.75
12/01/2009,489437,21352,Others,2,6.75
12/01/2009,489437,35400,Others,2,8.95
12/01/2009,489437,20695,Others,3,4.25
12/01/2009,489437,37370,Others,12,1.25
12/01/2009,489437,10002,Others,12,0.85
12/01/2009,489437,84507B,Others,6,2.55
12/01/2009,489437,20703,Others,3,4.25
12/01/2009,489437,21987,Others,12,0.65
12/01/2009,489437,21989,Others,12,0.85
12/01/2009,489437,84970S,Others,12,0.85
12/01/2009,489437,20971,Others,12,1.25
12/01/2009,489437,22271,Others,6,2.95
12/01/2009,489437,22272,Others,6,2.95
12/01/2009,489437,22274,Others,6,2.95
12/01/2009,489437,21912,Others,4,3.75
12/01/2009,489437,22111,Others,3,4.95
12/01/2009,489437,22112,Others,3,4.95
12/01/2009,489438,21329,Others,28,0.98
12/01/2009,489438,21252,Others,30,1.69
12/01/2009,489438,21100,Others,30,1.15
12/01/2009,489438,21033,Others,30,2
12/01/2009,489438,20711,Others,60,1.3
12/01/2009,489438,21410,Others,32,2.5
12/01/2009,489438,21411,Others,32,2.5
12/01/2009,489438,84031A,Others,56,3
12/01/2009,489438,84031B,Others,56,3
12/01/2009,489438,84032A,Others,60,1.9
12/01/2009,489438,84032B,Others,56,1.9
12/01/2009,489438,84519A,Others,56,2.15
12/01/2009,489438,84519B,Others,60,2.4
12/01/2009,489438,85132A,Others,60,6.38
12/01/2009,489438,85132C,Others,60,6.4
12/01/2009,489438,85183A,Others,60,2.4
12/01/2009,489438,85183B,Others,60,2.4
12/01/2009,489439,22065,Others,12,1.45
12/01/2009,489439,22138,Others,9,4.95
12/01/2009,489439,22139,Others,9,4.95
12/01/2009,489439,22352,Others,12,2.55
12/01/2009,489439,85014A,Others,3,5.95
12/01/2009,489439,85014B,Others,3,5.95
12/01/2009,489439,16161P,Others,25,0.42
12/01/2009,489439,16169N,Others,25,0.42
12/01/2009,489439,21491,Others,6,1.95
12/01/2009,489439,22333,Others,8,1.65
12/01/2009,489439,85216,Others,12,0.65
12/01/2009,489439,21493,Others,12,0.85
12/01/2009,489439,22130,Others,24,0.85
12/01/2009,489439,22064,Others,12,1.65
12/01/2009,489439,21731,Others,24,1.65
12/01/2009,489439,85232B,Others,6,4.95
12/01/2009,489439,84691,Others,12,0.85
12/01/2009,489439,20749,Others,2,7.95
12/01/2009,489440,22350,Others,8,2.55
12/01/2009,489440,22349,Others,8,3.75
12/01/2009,489441,22321,Others,12,0.72
12/01/2009,489441,22138,Others,6,4.25
12/01/2009,489441,84029E,Others,36,2.95
12/01/2009,489441,22111,Others,48,4.25
12/01/2009,489442,21955,Others,2,6.75
12/01/2009,489442,22111,Others,3,4.95
12/01/2009,489442,22296,Others,12,1.65
12/01/2009,489442,84899E,Others,12,1.25
12/01/2009,489442,22271,Others,6,2.95
12/01/2009,489442,22272,Others,6,2.95
12/01/2009,489442,85123A,Others,6,2.95
12/01/2009,489442,21582,Others,20,1.65
12/01/2009,489442,21586,Others,12,2.55
12/01/2009,489442,21590,Others,48,1.25
12/01/2009,489442,22091,Others,12,1.25
