stock_code,abc_class,cluster_label,cluster_name,pick_frequency,monthly_velocity,total_sales
85123A,A,0,A-Group (Fast),2803,4557.454545454546,136346.098907709
85099B,A,0,A-Group (Fast),1674,3853.9090909090905,77096.2000346184
22423,A,0,A-Group (Fast),1647,1303.25,128397.198662758
21212,A,0,A-Group (Fast),1590,4786.0,27158.8900848031
21232,A,0,A-Group (Fast),1446,2118.3636363636365,29443.8594110012
20725,A,0,A-Group (Fast),1342,1729.5454545454545,32094.290084362
84991,A,0,A-Group (Fast),1180,3048.090909090909,16681.3300765753
21754,A,0,A-Group (Fast),1136,389.090909090909,26205.7592077255
84879,A,0,A-Group (Fast),1117,3133.181818181818,55824.4818072319
21080,A,0,A-Group (Fast),1038,1499.7272727272727,12943.3300831318
20914,A,0,A-Group (Fast),1011,1028.6363636363635,31325.7099065781
21977,A,0,A-Group (Fast),999,2557.909090909091,14274.4000703692
21931,A,0,A-Group (Fast),995,1248.4545454545455,26207.8901538849
82494L,A,0,A-Group (Fast),975,691.4545454545454,21813.950019598
22138,A,0,A-Group (Fast),975,401.8181818181818,21652.189450264
22383,A,0,A-Group (Fast),973,1156.5,19089.7199854851
21755,A,0,A-Group (Fast),970,297.1818181818181,20246.8693962097
48138,A,0,A-Group (Fast),955,514.9090909090909,36589.1392903328
85099F,A,0,A-Group (Fast),948,1620.0,32696.0400619507
20727,A,0,A-Group (Fast),947,1213.090909090909,21274.9201472998
22139,A,0,A-Group (Fast),936,477.090909090909,25379.2695026398
20685,A,0,A-Group (Fast),919,468.5454545454545,34396.8893823624
22384,A,0,A-Group (Fast),916,979.3,15838.279950738
22386,A,0,A-Group (Fast),906,1585.9,29278.2701060772
47566,A,0,A-Group (Fast),902,850.7272727272727,46271.6004900932
22382,A,0,A-Group (Fast),889,910.1,14846.2199430466
21843,A,0,A-Group (Fast),886,351.090909090909,40650.7793874741
22411,A,0,A-Group (Fast),880,1279.4,23987.9401783943
20724,A,0,A-Group (Fast),873,1175.4545454545455,11742.0102926493
21231,A,0,A-Group (Fast),856,1046.2727272727273,14218.6697289944
22090,A,0,A-Group (Fast),843,785.4545454545454,26124.9799461365
21733,A,0,A-Group (Fast),833,763.9090909090909,23430.2499880791
22469,A,0,A-Group (Fast),831,1216.142857142857,14274.4899332523
21034,B,0,A-Group (Fast),827,154.9090909090909,1618.79997968674
85099C,A,0,A-Group (Fast),827,1376.2727272727273,27877.1800742149
22470,A,0,A-Group (Fast),825,884.4285714285714,17923.950160265
20728,A,0,A-Group (Fast),817,1110.5454545454545,19502.0401260853
