category,stock_code,abc_class,monthly_velocity,pick_frequency,total_sales,slotting_score,rank_in_category
Others,85123A,A,4557.4545454545454,2803,136346.098907709,4557.4545454545454,1
Others,85099B,A,3853.9090909090909,1674,77096.2000346184,3853.9090909090909,2
Others,22423,A,1303.2500000000000,1647,128397.198662758,1303.2500000000000,3
Others,21212,A,4786.0000000000000,1590,27158.8900848031,4786.0000000000000,4
Others,21232,A,2118.3636363636363,1446,29443.8594110012,2118.3636363636363,5
Others,20725,A,1729.5454545454545,1342,32094.290084362,1729.5454545454545,6
Others,84991,A,3048.0909090909090,1180,16681.3300765753,3048.0909090909090,7
Others,21754,A,389.0909090909090,1136,26205.7592077255,389.0909090909090,8
Others,84879,A,3133.1818181818181,1117,55824.4818072319,3133.1818181818181,9
Others,21080,A,1499.7272727272727,1038,12943.3300831318,1499.7272727272727,10
Others,20914,A,1028.6363636363636,1011,31325.7099065781,1028.6363636363636,11
Others,21977,A,2557.9090909090909,999,14274.4000703692,2557.9090909090909,12
Others,21931,A,1248.4545454545454,995,26207.8901538849,1248.4545454545454,13
Others,82494L,A,691.4545454545454,975,21813.950019598,691.4545454545454,14
Others,22138,A,401.8181818181818,975,21652.189450264,401.8181818181818,14
Others,22383,A,1156.5000000000000,973,19089.7199854851,1156.5000000000000,16
Others,21755,A,297.1818181818181,970,20246.8693962097,297.1818181818181,17
Others,48138,A,514.9090909090909,955,36589.1392903328,514.9090909090909,18
Others,85099F,A,1620.0000000000000,948,32696.0400619507,1620.0000000000000,19
Others,20727,A,1213.0909090909090,947,21274.9201472998,1213.0909090909090,20
Others,22139,A,477.0909090909090,936,25379.2695026398,477.0909090909090,21
Others,20685,A,468.5454545454545,919,34396.8893823624,468.5454545454545,22
Others,22384,A,979.3000000000000,916,15838.279950738,979.3000000000000,23
Others,22386,A,1585.9000000000000,906,29278.2701060772,1585.9000000000000,24
Others,47566,A,850.7272727272727,902,46271.6004900932,850.7272727272727,25
Others,22382,A,910.1000000000000,889,14846.2199430466,910.1000000000000,26
Others,21843,A,351.0909090909090,886,40650.7793874741,351.0909090909090,27
Others,22411,A,1279.4000000000000,880,23987.9401783943,1279.4000000000000,28
Others,20724,A,1175.4545454545454,873,11742.0102926493,1175.4545454545454,29
Others,21231,A,1046.2727272727272,856,14218.6697289944,1046.2727272727272,30
Others,22090,A,785.4545454545454,843,26124.9799461365,785.4545454545454,31
Others,21733,A,763.9090909090909,833,23430.2499880791,763.9090909090909,32
Others,22469,A,1216.1428571428571,831,14274.4899332523,1216.1428571428571,33
Others,21034,B,154.9090909090909,827,1618.79997968674,154.9090909090909,34
Others,85099C,A,1376.2727272727272,827,27877.1800742149,1376.2727272727272,34
Others,22470,A,884.4285714285714,825,17923.950160265,884.4285714285714,36
Others,20728,A,1110.5454545454545,817,19502.0401260853,1110.5454545454545,37
Others,84970S,A,1429.2727272727272,812,12769.4201945066,1429.2727272727272,38
Others,21790,A,939.5454545454545,801,8614.34025323391,939.5454545454545,39
Others,20726,A,1042.1818181818181,800,18812.4600836039,1042.1818181818181,40
Others,21181,A,980.8181818181818,777,21365.389670372,980.8181818181818,41
Others,82482,A,625.9090909090909,774,16283.0395092964,625.9090909090909,42
Others,21621,A,357.0909090909090,770,34119.8698482513,357.0909090909090,43
Others,22355,A,1046.9090909090909,757,12499.1002219915,1046.9090909090909,44
Others,84992,A,1668.1818181818181,755,9265.83003139496,1668.1818181818181,45
Others,22356,A,865.2727272727272,750,8536.20021486282,865.2727272727272,46
Others,84836,A,1133.7272727272727,749,15094.6497858763,1133.7272727272727,47
Others,22114,A,410.7272727272727,731,18909.3501355648,410.7272727272727,48
Others,22379,A,757.8000000000000,730,16175.4497352839,757.8000000000000,49
Others,21175,A,694.0909090909090,729,15061.139721632,694.0909090909090,50
Others,22197,A,2038.0909090909090,719,17895.9105921984,2038.0909090909090,51
Others,21535,A,373.3636363636363,713,10364.6797597408,373.3636363636363,52
Others,21213,A,2056.8181818181818,708,11528.8100670576,2056.8181818181818,53
Others,22189,A,623.2727272727272,699,22752.0201592445,623.2727272727272,54
Others,48194,A,367.7272727272727,687,24590.429599762,367.7272727272727,55
Others,22111,A,328.7272727272727,687,18162.7096710205,328.7272727272727,55
Others,84946,A,1230.2727272727272,676,17523.8396314383,1230.2727272727272,57
Others,85152,A,663.4545454545454,674,13885.7297754288,663.4545454545454,58
Others,22083,A,728.9090909090909,673,22593.3999123573,728.9090909090909,59
Others,21929,A,1241.1818181818181,655,24628.7600049973,1241.1818181818181,60
Others,20719,A,916.6363636363636,655,9595.12021827698,916.6363636363636,60
Others,22149,A,467.5454545454545,652,10705.1997025013,467.5454545454545,62
Others,22178,A,1026.2727272727272,649,14033.6897902489,1026.2727272727272,63
Others,21928,A,1138.8181818181818,645,22660.5999927521,1138.8181818181818,64
Others,22077,A,584.5454545454545,642,10827.2899160385,584.5454545454545,65
Others,20972,A,1012.0909090909090,641,13206.4697406292,1012.0909090909090,66
Others,82580,A,619.0909090909090,635,3657.97002756596,619.0909090909090,67
Others,21975,A,1604.6363636363636,628,8466.00002491474,1604.6363636363636,68
Others,84978,A,758.2727272727272,626,10877.8298091888,758.2727272727272,69
Others,22112,A,314.4545454545454,626,17145.2696943283,314.4545454545454,69
Others,22457,A,610.7500000000000,621,14433.0200788975,610.7500000000000,71
Others,84520B,A,618.9090909090909,618,5901.51003921032,618.9090909090909,72
Others,21527,A,237.8181818181818,616,19266.8696451187,237.8181818181818,73
Others,21210,A,762.4545454545454,616,12018.710287571,762.4545454545454,73
Others,47591D,A,484.0909090909090,611,9929.79011905193,484.0909090909090,75
Others,21524,A,294.0909090909090,610,20317.1896343231,294.0909090909090,76
Others,48187,A,287.1818181818181,597,19726.1796264648,287.1818181818181,77
Others,82486,A,211.0909090909090,595,17661.7295331955,211.0909090909090,78
Others,84755,A,2120.1818181818181,593,14221.1599330902,2120.1818181818181,79
Others,21429,A,342.8181818181818,589,6469.159943223,342.8181818181818,80
Others,21791,A,742.8181818181818,585,9821.72979569435,742.8181818181818,81
Others,85150,A,359.3636363636363,584,9964.51976799965,359.3636363636363,82
Others,20723,A,675.8181818181818,583,6713.11016845703,675.8181818181818,83
Others,22352,A,330.0909090909090,581,9069.54977083206,330.0909090909090,84
Others,21166,A,745.3636363636363,577,14656.0703904629,745.3636363636363,85
Others,21485,A,270.0909090909090,575,14281.4496831894,270.0909090909090,86
Others,22381,A,506.9000000000000,574,10629.229780674,506.9000000000000,87
Others,21731,A,1157.3636363636363,574,20881.120118618,1157.3636363636363,87
Others,82600,A,526.5454545454545,572,11257.3298473358,526.5454545454545,89
Others,20718,A,687.0909090909090,569,9440.32979416847,687.0909090909090,90
Others,21559,A,347.1818181818181,568,9417.14975047112,347.1818181818181,91
Others,84997B,A,423.3636363636363,565,17396.800154686,423.3636363636363,92
Others,84970L,A,945.6363636363636,562,9869.28005760908,945.6363636363636,93
Others,21533,A,163.6363636363636,561,8997.32978010178,163.6363636363636,94
Others,48185,A,274.1818181818181,560,20097.8796405792,274.1818181818181,95
Others,22326,A,569.8000000000000,559,16393.9399995804,569.8000000000000,96
Others,22585,A,1083.3750000000000,553,10830.6298789978,1083.3750000000000,97
Others,84997C,A,425.6363636363636,553,17112.730162859,425.6363636363636,97
Others,72741,A,1137.8181818181818,552,17273.0402562618,1137.8181818181818,99
Others,20713,A,737.7272727272727,549,15298.7700669765,737.7272727272727,100
Others,71459,A,1703.6363636363636,547,15367.9004992247,1703.6363636363636,101
Others,22528,A,720.8750000000000,546,7457.20988798141,720.8750000000000,102
Others,15056N,A,626.1818181818181,545,33687.8791246414,626.1818181818181,103
Others,84029E,A,378.6363636363636,540,14602.9601659775,378.6363636363636,104
Others,22348,A,700.2727272727272,536,6433.79018974304,700.2727272727272,105
Others,21523,A,299.5454545454545,534,21610.4795970917,299.5454545454545,106
Others,21930,A,577.3636363636363,532,12031.5700993538,577.3636363636363,107
Others,22086,A,774.5454545454545,529,24566.4898412228,774.5454545454545,108
Others,84997D,A,459.1818181818181,526,18301.2902011871,459.1818181818181,109
