stock_code,x_coordinate,y_coordinate,cluster_name,abc_class,slot_id
85123A,0,0,A-Group (Fast),A,1
85099B,0,1,A-Group (Fast),A,2
22423,1,0,A-Group (Fast),A,3
21212,0,2,A-Group (Fast),A,4
21232,1,1,A-Group (Fast),A,5
20725,2,0,A-Group (Fast),A,6
84991,0,3,A-Group (Fast),A,7
21754,1,2,A-Group (Fast),A,8
84879,2,1,A-Group (Fast),A,9
21080,3,0,A-Group (Fast),A,10
20914,0,4,A-Group (Fast),A,11
21977,1,3,A-Group (Fast),A,12
21931,2,2,A-Group (Fast),A,13
82494L,3,1,A-Group (Fast),A,14
22138,4,0,A-Group (Fast),A,15
22383,0,5,A-Group (Fast),A,16
21755,1,4,A-Group (Fast),A,17
48138,2,3,A-Group (Fast),A,18
85099F,3,2,A-Group (Fast),A,19
20727,4,1,A-Group (Fast),A,20
22139,5,0,A-Group (Fast),A,21
20685,0,6,A-Group (Fast),A,22
22384,1,5,A-Group (Fast),A,23
22386,2,4,A-Group (Fast),A,24
47566,3,3,A-Group (Fast),A,25
22382,4,2,A-Group (Fast),A,26
21843,5,1,A-Group (Fast),A,27
22411,6,0,A-Group (Fast),A,28
20724,0,7,A-Group (Fast),A,29
21231,1,6,A-Group (Fast),A,30
22090,2,5,A-Group (Fast),A,31
21733,3,4,A-Group (Fast),A,32
22469,4,3,A-Group (Fast),A,33
21034,5,2,A-Group (Fast),B,34
85099C,6,1,A-Group (Fast),A,35
22470,7,0,A-Group (Fast),A,36
20728,0,8,A-Group (Fast),A,37
84970S,1,7,A-Group (Fast),A,38
21790,2,6,A-Group (Fast),A,39
20726,3,5,A-Group (Fast),A,40
21181,4,4,A-Group (Fast),A,41
82482,5,3,A-Group (Fast),A,42
21621,6,2,A-Group (Fast),A,43
22355,7,1,A-Group (Fast),A,44
84992,8,0,A-Group (Fast),A,45
22356,0,9,A-Group (Fast),A,46
84836,1,8,A-Group (Fast),A,47
22114,2,7,A-Group (Fast),A,48
22379,3,6,A-Group (Fast),A,49
21175,4,5,A-Group (Fast),A,50
22197,5,4,A-Group (Fast),A,51
21535,6,3,A-Group (Fast),A,52
21213,7,2,A-Group (Fast),A,53
22189,8,1,A-Group (Fast),A,54
48194,9,0,A-Group (Fast),A,55
22111,0,10,A-Group (Fast),A,56
84946,1,9,A-Group (Fast),A,57
85152,2,8,A-Group (Fast),A,58
22083,3,7,A-Group (Fast),A,59
21929,4,6,A-Group (Fast),A,60
20719,5,5,A-Group (Fast),A,61
22149,6,4,A-Group (Fast),A,62
22178,7,3,A-Group (Fast),A,63
