stock_code,x_coordinate,y_coordinate
85123A,0,0
85099B,0,1
22086,1,0
21212,0,2
22910,1,1
22867,2,0
22423,0,3
79321,1,2
22865,2,1
84879,3,0
84946,0,4
22866,1,3
22197,2,2
22952,3,1
22112,4,0
71477,0,5
21232,1,4
22633,2,3
84347,3,2
22111,4,1
22632,5,0
21733,0,6
22585,1,5
22114,2,4
22629,3,3
22469,4,2
22909,5,1
21485,6,0
84077,0,7
21098,1,6
21231,2,5
84945,3,4
22699,4,3
82494L,5,2
21481,6,1
21494,7,0
21080,0,8
21181,1,7
84991,2,6
84950,3,5
85048,4,4
84970S,5,3
22697,6,2
22178,7,1
21977,8,0
21213,0,9
22945,1,8
20725,2,7
22659,3,6
21166,4,5
20972,5,4
22198,6,3
84029E,7,2
22630,8,1
21790,9,0
82482,0,10
21931,1,9
22791,2,8
20971,3,7
22616,4,6
22386,5,5
72741,6,4
20668,7,3
21498,8,2
22470,9,1
22411,10,0
82484,0,11
20724,1,10
22147,2,9
22834,3,8
21731,4,7
20713,5,6
84992,6,5
85099C,7,4
82600,8,3
21484,9,2
22457,10,1
22492,11,0
21992,0,12
84947,1,11
22144,2,10
22652,3,9
22551,4,8
22556,5,7
82483,6,6
20914,7,5
17003,8,4
22740,9,3
22371,10,2
22734,11,1
22759,12,0
22816,0,13
22110,1,12
22355,2,11
21488,3,10
21314,4,9
21186,5,8
22666,6,7
20719,7,6
21094,8,5
22149,9,4
20727,10,3
22158,11,2
22571,12,1
21121,13,0
21791,0,14
47591D,1,13
84949,2,12
85152,3,11
22294,4,10
21326,5,9
21982,6,8
22139,7,7
22712,8,6
85099F,9,5
22959,10,4
22557,11,3
22694,12,2
20723,13,1
84836,14,0
22818,0,15
22646,1,14
22141,2,13
22595,3,12
22467,4,11
20974,5,10
21928,6,9
22311,7,8
22379,8,7
84970L,9,6
21258,10,5
22837,11,4
22943,12,3
21156,13,2
22130,14,1
22083,15,0
22597,0,16
82583,1,15
82486,2,14
22645,3,13
22804,4,12
22554,5,11
22667,6,10
21175,7,9
22776,8,8
22560,9,7
22419,10,6
22755,11,5
21136,12,4
21210,13,3
22754,14,2
22855,15,1
84978,16,0
22383,0,17
22577,1,16
21976,2,15
22174,3,14
22534,4,13
21889,5,12
22029,6,11
22326,7,10
21086,8,9
21586,9,8
21479,10,7
22077,11,6
84029G,12,5
22189,13,4
84598,14,3
21704,15,2
22951,16,1
84406B,17,0
21429,0,18
20975,1,17
21870,2,16
22906,3,15
35004C,4,14
21174,5,13
22847,6,12
35957,7,11
21980,8,10
21914,9,9
20711,10,8
21116,11,7
22328,12,6
22385,13,5
22555,14,4
71459,15,3
37370,16,2
15036,17,1
21011,18,0
22578,0,19
21915,1,18
21929,2,17
84692,3,16
20712,4,15
22417,5,14
22812,6,13
22835,7,12
84050,8,11
15056BL,9,10
22727,10,9
22549,11,8
22271,12,7
84832,13,6
22333,14,5
85049A,15,4
20726,16,3
22553,17,2
22593,18,1
22574,19,0
22622,0,20
22665,1,19
21993,2,18
22602,3,17
22594,4,16
22620,5,15
22444,6,14
47566,7,13
22572,8,12
21499,9,11
20718,10,10
22561,11,9
21990,12,8
22738,13,7
16237,14,6
22464,15,5
22726,16,4
22601,17,3
21165,18,2
22536,19,1
22575,20,0
22904,0,21
22654,1,20
20728,2,19
21871,3,18
35598D,4,17
22314,5,16
22374,6,15
20973,7,14
21703,8,13
21351,9,12
22418,10,11
22733,11,10
84380,12,9
84032B,13,8
22356,14,7
22693,15,6
15056N,16,5
22603,17,4
21916,18,3
72807C,19,2
84030E,20,1
85131A,21,0
22569,0,22
22617,1,21
22940,2,20
22637,3,19
22381,4,18
22739,5,17
22704,6,16
22573,7,15
21591,8,14
22530,9,13
22579,10,12
