SKU,Predicted_Demand,Velocity_Rank
85123A,6168.12,1.0
85099B,4789.77,2.0
22086,4713.32,3.0
21212,3873.02,4.0
22910,3784.34,5.0
22867,3732.24,6.0
22423,3540.31,7.0
79321,3469.77,8.0
22865,3291.14,9.0
84879,3114.47,10.0
84946,3066.21,11.0
22866,2888.19,12.0
22197,2788.8,13.0
22952,2569.46,14.0
22112,2550.37,15.0
71477,2341.67,16.0
21232,2224.31,17.0
22633,2146.56,18.0
84347,1985.8999999999999,19.0
22111,1935.68,20.0
22632,1887.2,21.0
21733,1842.53,22.0
22585,1836.16,23.0
22114,1819.44,24.0
22629,1785.6100000000001,25.0
22469,1771.33,26.0
22909,1746.57,27.0
21485,1724.1399999999999,28.0
84077,1694.15,29.0
21098,1667.8500000000001,30.0
21231,1620.54,31.0
84945,1581.02,32.0
22699,1505.81,33.0
82494L,1504.98,34.0
21481,1463.98,35.0
21494,1461.75,36.0
21080,1454.23,37.0
21181,1450.9099999999999,38.0
84991,1443.88,39.0
84950,1426.53,40.0
85048,1424.73,41.0
84970S,1417.94,42.0
22697,1397.1100000000001,43.0
22178,1390.63,44.0
21977,1389.51,45.0
21213,1386.08,46.0
22945,1380.07,47.0
20725,1376.1200000000001,48.0
22659,1297.93,49.0
21166,1251.73,50.0
20972,1247.83,51.0
22198,1237.34,52.0
84029E,1231.34,53.0
22630,1225.6399999999999,54.0
21790,1218.3,55.0
82482,1213.04,56.0
21931,1206.11,57.0
22791,1198.05,58.0
20971,1195.05,59.0
22616,1190.49,60.0
22386,1171.52,61.0
72741,1166.83,62.0
20668,1156.84,63.0
21498,1147.54,64.0
22470,1137.94,65.0
22411,1118.96,66.0
82484,1114.86,67.0
20724,1104.75,68.0
22147,1088.16,69.0
22834,1087.8799999999999,70.0
21731,1086.77,71.0
20713,1084.06,72.0
84992,1082.47,73.0
85099C,1081.18,74.0
82600,1060.0,75.0
21484,1056.6,76.0
22457,1040.96,77.0
22492,1034.87,78.0
21992,1017.4,79.0
84947,1015.57,80.0
22144,1014.7,81.0
22652,1014.45,82.0
22551,1000.6800000000001,83.0
22556,999.0,84.0
82483,997.49,85.0
20914,985.03,86.0
17003,974.92,87.0
22740,969.57,88.0
22371,957.99,89.0
22734,957.91,90.0
22759,952.49,91.0
22816,936.8000000000001,92.0
22110,928.4,93.0
22355,927.62,94.0
21488,920.78,95.0
21314,920.46,96.0
21186,919.56,97.0
22666,908.68,98.0
20719,908.6,99.0
21094,898.9,100.0
22149,898.76,101.0
20727,895.19,102.0
22158,878.27,103.0
22571,878.12,104.0
21121,874.68,105.0
21791,868.48,106.0
47591D,857.86,107.0
84949,857.6800000000001,108.0
85152,855.38,109.0
22294,854.8199999999999,110.0
21326,850.25,111.0
21982,847.65,112.0
22139,847.5,113.0
22712,838.95,114.0
85099F,836.41,115.0
22959,835.28,116.0
22557,830.2,117.0
22694,827.98,118.0
20723,825.28,119.0
84836,805.51,120.0
22818,800.24,121.0
22646,799.57,122.0
22141,790.5600000000001,123.0
22595,785.47,124.0
22467,784.38,125.0
20974,779.48,126.0
21928,775.72,127.0
22311,774.21,128.0
22379,756.07,129.0
84970L,750.26,130.0
21258,743.37,131.0
22837,737.83,132.0
22943,735.88,133.0
21156,735.36,134.0
22130,731.79,135.0
22083,730.44,136.0
22597,724.5,137.0
82583,713.49,138.0
82486,707.34,139.0
22645,702.77,140.0
22804,700.79,141.0
22554,699.35,142.0
22667,697.91,143.0
21175,693.53,144.0
22776,692.12,145.0
22560,691.33,146.0
22419,689.12,147.0
22755,682.95,148.0
21136,680.83,149.0
21210,679.55,150.0
22754,679.35,151.0
22855,678.18,152.0
84978,676.75,153.0
22383,676.38,154.0
22577,673.58,155.0
21976,672.27,156.0
22174,669.37,157.0
22534,661.17,158.0
21889,660.03,159.0
22029,651.22,160.0
22326,649.12,161.0
21086,643.99,162.0
21586,643.0,163.0
21479,637.5,164.0
22077,636.3,165.0
84029G,632.81,166.0
22189,629.76,167.0
84598,629.57,168.0
21704,629.47,169.0
22951,621.67,170.0
84406B,620.61,171.0
21429,620.25,172.0
20975,619.16,173.0
21870,615.12,174.0
22906,605.01,175.0
35004C,604.6,176.0
21174,603.9599999999999,177.0
22847,601.88,178.0
35957,599.25,179.0
21980,598.66,180.0
21914,598.23,181.0
20711,589.25,182.0
21116,588.79,183.0
22328,588.73,184.0
22385,585.4399999999999,185.0
22555,585.07,186.0
71459,583.29,187.0
37370,583.23,188.0
15036,582.3100000000001,189.0
21011,580.6,190.0
22578,577.87,191.0
21915,577.05,192.0
21929,570.54,193.0
84692,570.3100000000001,194.0
20712,567.08,195.0
22417,564.98,196.0
22812,563.74,197.0
22835,561.7,198.0
84050,557.53,199.0
15056BL,556.3100000000001,200.0
22727,549.73,201.0
22549,548.9,202.0
22271,548.38,203.0
84832,544.91,204.0
22333,543.93,205.0
85049A,539.58,206.0
20726,536.96,207.0
22553,536.65,208.0
22593,536.64,209.0
22574,533.83,210.0
22622,530.41,211.0
22665,526.64,212.0
21993,526.5600000000001,213.0
22602,521.75,214.0
22594,519.98,215.0
22620,514.28,216.0
22444,511.8,217.0
47566,509.93,218.0
22572,507.52,219.0
21499,507.42,220.0
20718,507.14,221.0
22561,506.32,222.0
21990,506.28,223.0
22738,506.16,224.0
16237,503.61,225.0
22464,500.4,226.0
22726,499.59999999999997,227.0
22601,499.1,228.0
21165,498.11,229.0
22536,497.37,230.0
22575,494.92,231.0
22904,494.28000000000003,232.0
22654,490.42,233.0
